chr start end strand gene gene_start gene_end breadth gene_strand expression SI promoter
1879 scaffold_132 27199 27208 + JGI_V11_301437 26389 29549 10 + 1419 1.22393064688191 scaffold_132_27199_27208_+
1880 scaffold_132 34691 34698 + JGI_V11_301443 34193 39846 8 + 2093 -1.20695880364382 scaffold_132_34691_34698_+
1881 scaffold_132 57894 57905 + JGI_V11_63074 57707 59541 12 + 2657 -3.07651842117589 scaffold_132_57894_57905_+
1884 scaffold_132 45174 45183 - JGI_V11_301444 42269 45481 10 - 24087 1.4583678800697 scaffold_132_45174_45183_-
1886 scaffold_1321 3462 3472 + JGI_V11_68047 3308 4415 11 + 2241 -0.659933042725605 scaffold_1321_3462_3472_+
1887 scaffold_1321 3501 3518 + JGI_V11_68047 3308 4415 18 + 3296 -0.659933042725605 scaffold_1321_3501_3518_+
1888 scaffold_1321 3593 3595 + JGI_V11_68047 3308 4415 3 + 853 -0.659933042725605 scaffold_1321_3593_3595_+
1889 scaffold_1321 3810 3811 + JGI_V11_68047 3308 4415 2 + 967 -0.659933042725605 scaffold_1321_3810_3811_+
1891 scaffold_133 221949 221950 + JGI_V11_63109 221718 223722 2 + 2758 0.388434280684234 scaffold_133_221949_221950_+
1892 scaffold_133 226183 226186 + JGI_V11_203278 226009 229261 4 + 1216 -0.203248907206473 scaffold_133_226183_226186_+
1893 scaffold_133 198939 198945 - JGI_V11_330093 190790 199173 7 - 3588 0.566073136485127 scaffold_133_198939_198945_-
1894 scaffold_133 218965 218967 - JGI_V11_330100 218059 219462 3 - 2076 0.0118214838841197 scaffold_133_218965_218967_-
1895 scaffold_134 192274 192275 + JGI_V11_301464 191499 193344 2 + 893 -1.89058673063953 scaffold_134_192274_192275_+
1896 scaffold_134 195737 195738 + JGI_V11_218276 195267 201637 2 + 647 -0.16036361169439 scaffold_134_195737_195738_+
1897 scaffold_134 198754 198755 + JGI_V11_218276 195267 201637 2 + 340 -0.16036361169439 scaffold_134_198754_198755_+
1898 scaffold_134 181340 181347 - JGI_V11_301467 180595 181840 8 - 2053 -0.728008812553878 scaffold_134_181340_181347_-
1900 scaffold_135 120657 120674 + JGI_V11_301483 120132 121926 18 + 6484 -0.194166569932905 scaffold_135_120657_120674_+
1901 scaffold_135 120695 120721 + JGI_V11_301483 120132 121926 27 + 7793 -0.194166569932905 scaffold_135_120695_120721_+
1902 scaffold_135 129585 129618 + JGI_V11_301475 129085 131137 34 + 2317 -0.329519282179747 scaffold_135_129585_129618_+
1904 scaffold_135 80186 80187 - JGI_V11_330175 78600 80731 2 - 1712 -0.598855392842755 scaffold_135_80186_80187_-
1905 scaffold_135 80234 80235 - JGI_V11_330175 78600 80731 2 - 423 -0.598855392842755 scaffold_135_80234_80235_-
1908 scaffold_135 111136 111137 - JGI_V11_114625 108927 111477 2 - 448 -1.78663360660553 scaffold_135_111136_111137_-
1909 scaffold_135 113990 114073 - JGI_V11_203299 112645 114558 84 - 18740 0.128881495439494 scaffold_135_113990_114073_-
1910 scaffold_135 120374 120437 - JGI_V11_301482 114532 120554 64 - 7895 -0.407303195698218 scaffold_135_120374_120437_-
1911 scaffold_135 209777 209792 - JGI_V11_260253 204315 212112 16 - 4308 0.207973082157431 scaffold_135_209777_209792_-
1912 scaffold_135 288297 288304 - JGI_V11_63211 271803 288589 8 - 670 -0.863168516448801 scaffold_135_288297_288304_-
1913 scaffold_135 308103 308104 - JGI_V11_114652 307192 308497 2 - 745 -1.99552458771063 scaffold_135_308103_308104_-
1914 scaffold_1356 7493 7494 + JGI_V11_337115 7147 10378 2 + 363 -0.286506804820649 scaffold_1356_7493_7494_+
1915 scaffold_136 249888 249889 + JGI_V11_330231 249632 252644 2 + 414 -1.87828622807183 scaffold_136_249888_249889_+
1917 scaffold_136 255729 255768 - JGI_V11_231749 254789 256258 40 - 39276 -1.79131731251649 scaffold_136_255729_255768_-
1918 scaffold_137 131798 131809 + JGI_V11_93618 131298 133077 12 + 4192 -2.70947747462198 scaffold_137_131798_131809_+
1919 scaffold_137 131871 131872 + JGI_V11_93618 131298 133077 2 + 481 -2.70947747462198 scaffold_137_131871_131872_+
1920 scaffold_137 249135 249139 - JGI_V11_301496 248297 249633 5 - 624 -1.8620663604732 scaffold_137_249135_249139_-
1921 scaffold_137 251296 251298 - JGI_V11_330280 250101 252374 3 - 764 -0.176416832798767 scaffold_137_251296_251298_-
1922 scaffold_1377 447 452 + JGI_V11_337137 -35 2032 6 + 639 0.784631421898697 scaffold_1377_447_452_+
1923 scaffold_138 54141 54145 + JGI_V11_301526 49831 57502 5 + 2589 -0.31316929686481 scaffold_138_54141_54145_+
1924 scaffold_138 71180 71185 + JGI_V11_330310 70680 73336 6 + 2859 -0.362448648594158 scaffold_138_71180_71185_+
1925 scaffold_138 75739 75745 + JGI_V11_299609 75239 78132 7 + 2609 0.246677113114555 scaffold_138_75739_75745_+
1927 scaffold_138 81973 81974 + JGI_V11_299616 81552 84792 2 + 608 1.50850091731806 scaffold_138_81973_81974_+
1934 scaffold_138 241776 241777 + JGI_V11_330320 241732 245352 2 + 391 -1.09387151319295 scaffold_138_241776_241777_+
1935 scaffold_138 241849 241850 + JGI_V11_330320 241732 245352 2 + 529 -1.09387151319295 scaffold_138_241849_241850_+
1936 scaffold_138 248464 248468 + JGI_V11_114784 247993 249126 5 + 177 -0.107782072202832 scaffold_138_248464_248468_+
1938 scaffold_138 295979 295980 + JGI_V11_330331 295430 296543 2 + 1049 0.232345837248948 scaffold_138_295979_295980_+
1939 scaffold_138 306215 306238 + JGI_V11_301516 305674 307605 24 + 65387 1.1698820779163 scaffold_138_306215_306238_+
1940 scaffold_138 306527 306537 + JGI_V11_301516 305674 307605 11 + 5040 1.1698820779163 scaffold_138_306527_306537_+
1941 scaffold_138 306950 306964 + JGI_V11_301516 305674 307605 15 + 2482 1.1698820779163 scaffold_138_306950_306964_+
1942 scaffold_138 309180 309183 + JGI_V11_301518 308680 310253 4 + 1241 0.979769594547034 scaffold_138_309180_309183_+
1943 scaffold_138 312035 312040 + JGI_V11_189478 311789 315230 6 + 869 -0.990471648916724 scaffold_138_312035_312040_+
1945 scaffold_138 16530 16553 - JGI_V11_228988 15395 17051 24 - 2122 -0.672357409420993 scaffold_138_16530_16553_-
1948 scaffold_138 48928 48946 - JGI_V11_301525 43867 48967 19 - 1917 -1.12077207584032 scaffold_138_48928_48946_-
1952 scaffold_138 290627 290634 - JGI_V11_301515 289368 291134 8 - 2142 -0.883438005711803 scaffold_138_290627_290634_-
1953 scaffold_138 308880 308936 - JGI_V11_5678 308038 309356 57 - 5079 -0.87031772521791 scaffold_138_308880_308936_-
1956 scaffold_139 156931 156932 + JGI_V11_203390 156491 158065 2 + 944 -1.18342795110807 scaffold_139_156931_156932_+
1957 scaffold_139 157842 157846 + JGI_V11_203390 156491 158065 5 + 743 -1.18342795110807 scaffold_139_157842_157846_+
1958 scaffold_139 157872 157891 + JGI_V11_203390 156491 158065 20 + 1801 -1.18342795110807 scaffold_139_157872_157891_+
1959 scaffold_139 175330 175353 + JGI_V11_260508 175075 176291 24 + 2235 0.316835770227403 scaffold_139_175330_175353_+
1960 scaffold_139 167419 167431 - JGI_V11_63387 159262 167830 13 - 1007 0.129960364405123 scaffold_139_167419_167431_-
1961 scaffold_14 114348 114353 + JGI_V11_301609 113848 115214 6 + 18919 -0.367426409785998 scaffold_14_114348_114353_+
1967 scaffold_14 594993 595000 + JGI_V11_301622 594749 598735 8 + 1083 -1.63798078701123 scaffold_14_594993_595000_+
1968 scaffold_14 595078 595079 + JGI_V11_301622 594749 598735 2 + 951 -1.63798078701123 scaffold_14_595078_595079_+
1969 scaffold_14 786280 786284 + JGI_V11_301624 786091 794721 5 + 3000 1.17138962659279 scaffold_14_786280_786284_+
1971 scaffold_14 858358 858362 + JGI_V11_315459 857983 859369 5 + 1596 -3.01409352264864 scaffold_14_858358_858362_+
1972 scaffold_14 891657 891674 + JGI_V11_301559 891147 893300 18 + 2865 -1.84212713109067 scaffold_14_891657_891674_+
1973 scaffold_14 908322 908337 + JGI_V11_301562 907609 910016 16 + 1699 1.52782491971474 scaffold_14_908322_908337_+
1974 scaffold_14 1085111 1085121 + JGI_V11_301568 1084618 1085667 11 + 13390 -1.26485033268125 scaffold_14_1085111_1085121_+
1975 scaffold_14 1085257 1085258 + JGI_V11_301568 1084618 1085667 2 + 125 -1.26485033268125 scaffold_14_1085257_1085258_+
1976 scaffold_14 1200732 1200743 + JGI_V11_47739 1200447 1202116 12 + 2365 -1.67119325808955 scaffold_14_1200732_1200743_+
1978 scaffold_14 1224148 1224149 + JGI_V11_100304 1223789 1225150 2 + 921 0.39592022016557 scaffold_14_1224148_1224149_+
1979 scaffold_14 1238656 1238657 + JGI_V11_301645 1238544 1240032 2 + 260 -2.59676547007678 scaffold_14_1238656_1238657_+
1980 scaffold_14 1240641 1240642 + JGI_V11_301646 1240141 1241753 2 + 317 -2.14267748416102 scaffold_14_1240641_1240642_+
1982 scaffold_14 1284490 1284496 + JGI_V11_301577 1283990 1285280 7 + 35602 -1.83580898503861 scaffold_14_1284490_1284496_+
1983 scaffold_14 1308733 1308740 + JGI_V11_301580 1308236 1309650 8 + 17488 -0.486504015665802 scaffold_14_1308733_1308740_+
1984 scaffold_14 1309038 1309039 + JGI_V11_301580 1308236 1309650 2 + 452 -0.486504015665802 scaffold_14_1309038_1309039_+
1985 scaffold_14 1309400 1309402 + JGI_V11_301580 1308236 1309650 3 + 2441 -0.486504015665802 scaffold_14_1309400_1309402_+
1986 scaffold_14 1310688 1310693 + JGI_V11_301650 1310236 1311517 6 + 31443 0.939720154767709 scaffold_14_1310688_1310693_+
1987 scaffold_14 1310868 1310869 + JGI_V11_301650 1310236 1311517 2 + 411 0.939720154767709 scaffold_14_1310868_1310869_+
1988 scaffold_14 1326684 1326685 + JGI_V11_100333 1326283 1328432 2 + 379 0.474180484404004 scaffold_14_1326684_1326685_+
1989 scaffold_14 1347293 1347294 + JGI_V11_301584 1346791 1348046 2 + 1573 -0.772322522058432 scaffold_14_1347293_1347294_+
1990 scaffold_14 1349240 1349247 + JGI_V11_100339 1348578 1350244 8 + 9199 -0.823309602728742 scaffold_14_1349240_1349247_+
1991 scaffold_14 1349730 1349731 + JGI_V11_100339 1348578 1350244 2 + 826 -0.823309602728742 scaffold_14_1349730_1349731_+
1992 scaffold_14 1353054 1353058 + JGI_V11_100340 1352599 1353773 5 + 2191 -0.471045680186293 scaffold_14_1353054_1353058_+
1993 scaffold_14 1354974 1354981 + JGI_V11_239811 1354519 1356180 8 + 99157 0.92145269845841 scaffold_14_1354974_1354981_+
1994 scaffold_14 1355120 1355121 + JGI_V11_239811 1354519 1356180 2 + 567 0.92145269845841 scaffold_14_1355120_1355121_+
1995 scaffold_14 1355160 1355191 + JGI_V11_239811 1354519 1356180 32 + 3226 0.92145269845841 scaffold_14_1355160_1355191_+
1996 scaffold_14 1355524 1355541 + JGI_V11_239811 1354519 1356180 18 + 1688 0.92145269845841 scaffold_14_1355524_1355541_+
1997 scaffold_14 1357370 1357377 + JGI_V11_301586 1356873 1358177 8 + 18724 0.0785641084918816 scaffold_14_1357370_1357377_+
1998 scaffold_14 1357541 1357572 + JGI_V11_301586 1356873 1358177 32 + 8041 0.0785641084918816 scaffold_14_1357541_1357572_+
1999 scaffold_14 1360796 1360803 + JGI_V11_223263 1360299 1361983 8 + 3265 -0.173611019350025 scaffold_14_1360796_1360803_+
2000 scaffold_14 1410564 1410581 + JGI_V11_230663 1410071 1414064 18 + 13552 -0.823649201015372 scaffold_14_1410564_1410581_+
2001 scaffold_14 1410993 1410994 + JGI_V11_230663 1410071 1414064 2 + 1550 -0.823649201015372 scaffold_14_1410993_1410994_+
2002 scaffold_14 1412313 1412314 + JGI_V11_230663 1410071 1414064 2 + 865 -0.823649201015372 scaffold_14_1412313_1412314_+
2003 scaffold_14 1412773 1412783 + JGI_V11_230663 1410071 1414064 11 + 3253 -0.823649201015372 scaffold_14_1412773_1412783_+
2004 scaffold_14 1426110 1426118 + JGI_V11_301657 1423297 1428319 9 + 147517 -1.64751925653655 scaffold_14_1426110_1426118_+
2005 scaffold_14 1426550 1426569 + JGI_V11_301657 1423297 1428319 20 + 690 -1.64751925653655 scaffold_14_1426550_1426569_+
2006 scaffold_14 1426594 1426703 + JGI_V11_301657 1423297 1428319 110 + 17363 -1.64751925653655 scaffold_14_1426594_1426703_+
2007 scaffold_14 1426726 1426737 + JGI_V11_301657 1423297 1428319 12 + 2621 -1.64751925653655 scaffold_14_1426726_1426737_+
2008 scaffold_14 1426950 1426960 + JGI_V11_301657 1423297 1428319 11 + 7639 -1.64751925653655 scaffold_14_1426950_1426960_+
2009 scaffold_14 1427204 1427244 + JGI_V11_301657 1423297 1428319 41 + 1875 -1.64751925653655 scaffold_14_1427204_1427244_+
2010 scaffold_14 1429412 1429418 + JGI_V11_100364 1428939 1430228 7 + 2936 -1.695679658911 scaffold_14_1429412_1429418_+
2011 scaffold_14 1506453 1506454 + JGI_V11_315602 1505975 1509707 2 + 416 -0.262304839778926 scaffold_14_1506453_1506454_+
2012 scaffold_14 1513774 1513781 + JGI_V11_301663 1513444 1516154 8 + 668 -1.24863221137515 scaffold_14_1513774_1513781_+
2013 scaffold_14 1513851 1513856 + JGI_V11_301663 1513444 1516154 6 + 1048 -1.24863221137515 scaffold_14_1513851_1513856_+
2014 scaffold_14 1518253 1518266 + JGI_V11_301595 1517744 1518867 14 + 13121 -2.60122735651675 scaffold_14_1518253_1518266_+
2015 scaffold_14 1518305 1518312 + JGI_V11_301595 1517744 1518867 8 + 3945 -2.60122735651675 scaffold_14_1518305_1518312_+
2016 scaffold_14 1518644 1518650 + JGI_V11_301595 1517744 1518867 7 + 589 -2.60122735651675 scaffold_14_1518644_1518650_+
2017 scaffold_14 1549184 1549221 + JGI_V11_230667 1548702 1550164 38 + 9991 -2.73594711984971 scaffold_14_1549184_1549221_+
2018 scaffold_14 1552785 1552789 + JGI_V11_301601 1552237 1553500 5 + 16690 0.133221870446932 scaffold_14_1552785_1552789_+
2019 scaffold_14 1557349 1557350 + JGI_V11_315619 1557306 1561791 2 + 414 0.763086413561588 scaffold_14_1557349_1557350_+
2020 scaffold_14 1557620 1557669 + JGI_V11_315619 1557306 1561791 50 + 3781 0.763086413561588 scaffold_14_1557620_1557669_+
2021 scaffold_14 1557733 1557736 + JGI_V11_315619 1557306 1561791 4 + 1260 0.763086413561588 scaffold_14_1557733_1557736_+
2022 scaffold_14 1565424 1565428 + JGI_V11_315621 1564970 1567930 5 + 522 0.0252449980497338 scaffold_14_1565424_1565428_+
2023 scaffold_14 1591469 1591535 + JGI_V11_301602 1590999 1593058 67 + 30743 -0.639435425135453 scaffold_14_1591469_1591535_+
2024 scaffold_14 1592513 1592514 + JGI_V11_301602 1590999 1593058 2 + 452 -0.639435425135453 scaffold_14_1592513_1592514_+
2025 scaffold_14 1602494 1602528 + JGI_V11_315633 1601990 1604139 35 + 8431 1.01684313704858 scaffold_14_1602494_1602528_+
2026 scaffold_14 1603242 1603243 + JGI_V11_315633 1601990 1604139 2 + 287 1.01684313704858 scaffold_14_1603242_1603243_+
2029 scaffold_14 1625095 1625096 + JGI_V11_100422 1624639 1625844 2 + 1371 0.0824452111577103 scaffold_14_1625095_1625096_+
2030 scaffold_14 1647438 1647441 + JGI_V11_301607 1646900 1648510 4 + 2302 -1.60495881584247 scaffold_14_1647438_1647441_+
2032 scaffold_14 121795 121830 - JGI_V11_223192 121229 122592 36 - 1993 0.659835770767536 scaffold_14_121795_121830_-
2033 scaffold_14 122087 122095 - JGI_V11_223192 121229 122592 9 - 58625 0.659835770767536 scaffold_14_122087_122095_-
2034 scaffold_14 124424 124432 - JGI_V11_239483 123416 124740 9 - 5721 -1.19767508364623 scaffold_14_124424_124432_-
2035 scaffold_14 134409 134423 - JGI_V11_223195 132321 134919 15 - 1629 0.422307241613909 scaffold_14_134409_134423_-
2036 scaffold_14 238106 238154 - JGI_V11_301614 231550 238624 49 - 5040 -1.17696301763142 scaffold_14_238106_238154_-
2039 scaffold_14 460515 460516 - JGI_V11_315400 446139 460946 2 - 1787 -0.582781714358048 scaffold_14_460515_460516_-
2040 scaffold_14 465510 465517 - JGI_V11_47624 463200 465643 8 - 9474 0.526605964566932 scaffold_14_465510_465517_-
2041 scaffold_14 477478 477479 - JGI_V11_301619 471506 477996 2 - 1638 -1.34620281376052 scaffold_14_477478_477479_-
2041.1 scaffold_14 477478 477479 - JGI_V11_239577 477477 478362 2 - 1638 -0.211024855157834 scaffold_14_477478_477479_-
2042 scaffold_14 477638 477676 - JGI_V11_301619 471506 477996 39 - 9488 -1.34620281376052 scaffold_14_477638_477676_-
2042.1 scaffold_14 477638 477676 - JGI_V11_239577 477477 478362 39 - 9488 -0.211024855157834 scaffold_14_477638_477676_-
2043 scaffold_14 853308 853313 - JGI_V11_100222 852751 853769 6 - 19377 -2.3457861507126 scaffold_14_853308_853313_-
2044 scaffold_14 855269 855270 - JGI_V11_301626 854028 855943 2 - 421 -1.90526392071016 scaffold_14_855269_855270_-
2045 scaffold_14 855442 855443 - JGI_V11_301626 854028 855943 2 - 568 -1.90526392071016 scaffold_14_855442_855443_-
2046 scaffold_14 877324 877325 - JGI_V11_301628 872031 877825 2 - 654 0.748431283711932 scaffold_14_877324_877325_-
2050 scaffold_14 952452 952455 - JGI_V11_239688 945028 952996 4 - 1387 -0.093240123502623 scaffold_14_952452_952455_-
2052 scaffold_14 998875 998881 - JGI_V11_100245 996894 998917 7 - 15374 -2.12245363390419 scaffold_14_998875_998881_-
2053 scaffold_14 1020596 1020610 - JGI_V11_301637 1018339 1021111 15 - 1415 -0.488480575991621 scaffold_14_1020596_1020610_-
2054 scaffold_14 1024060 1024061 - JGI_V11_301638 1021767 1024283 2 - 422 -1.62059845740357 scaffold_14_1024060_1024061_-
2055 scaffold_14 1024205 1024206 - JGI_V11_301638 1021767 1024283 2 - 1512 -1.62059845740357 scaffold_14_1024205_1024206_-
2057 scaffold_14 1199818 1199819 - JGI_V11_230652 1198659 1200770 2 - 2680 -1.90980141423462 scaffold_14_1199818_1199819_-
2058 scaffold_14 1200173 1200186 - JGI_V11_230652 1198659 1200770 14 - 7184 -1.90980141423462 scaffold_14_1200173_1200186_-
2059 scaffold_14 1200212 1200215 - JGI_V11_230652 1198659 1200770 4 - 6334 -1.90980141423462 scaffold_14_1200212_1200215_-
2060 scaffold_14 1200240 1200259 - JGI_V11_230652 1198659 1200770 20 - 5619 -1.90980141423462 scaffold_14_1200240_1200259_-
2061 scaffold_14 1221230 1221231 - JGI_V11_301643 1219694 1224465 2 - 655 0.93967733623543 scaffold_14_1221230_1221231_-
2062 scaffold_14 1221314 1221315 - JGI_V11_301643 1219694 1224465 2 - 501 0.93967733623543 scaffold_14_1221314_1221315_-
2063 scaffold_14 1230015 1230066 - JGI_V11_301644 1225122 1230478 52 - 13157 0.402829751292801 scaffold_14_1230015_1230066_-
2064 scaffold_14 1287465 1287480 - JGI_V11_315544 1287268 1288328 16 - 6699 -0.967875621904291 scaffold_14_1287465_1287480_-
2065 scaffold_14 1287824 1287838 - JGI_V11_315544 1287268 1288328 15 - 130239 -0.967875621904291 scaffold_14_1287824_1287838_-
2066 scaffold_14 1293530 1293531 - JGI_V11_301647 1288849 1293978 2 - 1026 1.01881380378173 scaffold_14_1293530_1293531_-
2067 scaffold_14 1298301 1298308 - JGI_V11_223256 1297533 1298807 8 - 34333 0.0676900618830398 scaffold_14_1298301_1298308_-
2068 scaffold_14 1299973 1299974 - JGI_V11_100321 1299356 1300432 2 - 49692 0.712632580527991 scaffold_14_1299973_1299974_-
2069 scaffold_14 1301749 1301754 - JGI_V11_239790 1301093 1302212 6 - 105992 1.10404639763089 scaffold_14_1301749_1301754_-
2070 scaffold_14 1303587 1303588 - JGI_V11_315550 1302285 1304046 2 - 51193 0.496517411413502 scaffold_14_1303587_1303588_-
2071 scaffold_14 1305122 1305123 - JGI_V11_301649 1304487 1305785 2 - 850 1.51939549529317 scaffold_14_1305122_1305123_-
2072 scaffold_14 1305323 1305330 - JGI_V11_301649 1304487 1305785 8 - 189649 1.51939549529317 scaffold_14_1305323_1305330_-
2073 scaffold_14 1307837 1307847 - JGI_V11_239793 1306890 1308299 11 - 75984 -0.416488500540602 scaffold_14_1307837_1307847_-
2074 scaffold_14 1313601 1313608 - JGI_V11_301651 1312178 1314020 8 - 20506 -1.67584817620392 scaffold_14_1313601_1313608_-
2075 scaffold_14 1316150 1316152 - JGI_V11_223258 1315540 1317147 3 - 873 -0.804471884373031 scaffold_14_1316150_1316152_-
2076 scaffold_14 1316304 1316305 - JGI_V11_223258 1315540 1317147 2 - 284 -0.804471884373031 scaffold_14_1316304_1316305_-
2077 scaffold_14 1316688 1316695 - JGI_V11_223258 1315540 1317147 8 - 6186 -0.804471884373031 scaffold_14_1316688_1316695_-
2078 scaffold_14 1318566 1318571 - JGI_V11_301652 1317678 1319027 6 - 29775 1.1295623511813 scaffold_14_1318566_1318571_-
2079 scaffold_14 1319947 1319948 - JGI_V11_301581 1319693 1321014 2 - 899 -2.35558338422015 scaffold_14_1319947_1319948_-
2080 scaffold_14 1320265 1320289 - JGI_V11_301581 1319693 1321014 25 - 3951 -2.35558338422015 scaffold_14_1320265_1320289_-
2081 scaffold_14 1320507 1320514 - JGI_V11_301581 1319693 1321014 8 - 54990 -2.35558338422015 scaffold_14_1320507_1320514_-
2082 scaffold_14 1324158 1324163 - JGI_V11_100332 1323574 1324741 6 - 3410 -1.24362393381751 scaffold_14_1324158_1324163_-
2083 scaffold_14 1329794 1329797 - JGI_V11_301582 1329162 1330457 4 - 3423 -1.37723476840121 scaffold_14_1329794_1329797_-
